Name,US release Date,mcu_phase,Director,Producer,Cast,Genre,movie_duration,IMDB rating,metascore,tomato_meter,audience_score,Oscar Nomination,Oscar won,production_budget,opening_weekend,domestic_box_office,worldwide_box_office
Black Widow,7/9/2021,4,Cate Shortland,Kevin Feige,"Scarlett Johansson , Florence Pugh , David Harbour , Rachel Weisz","Action , Adventure , Sci-Fi ",133,6.7,68,79,91,0,0,"200,000,000","80,366,312","183,651,655","379,751,655"
Shang-Chi and the Legend of the Ten Rings,9/3/2021,4,Destin Daniel Cretton,Kevin Feige and Jonathan Schwartz,"Simu Liu , Awkwafina , Tony Leung Chiu-wai , Ben Kingsley ","Action , Adventure , Fantasy , Sci-Fi ",133,7.4,71,92,98,1,0,"150,000,000","75,388,688","224,543,292","432,243,292"
Eternals,11/5/2021,4,Chloe Zhao,Kevin Feige and Nate Moore,"Gemma Chan , Richard Madden , Angelina Jolie , Salma Hayek , Kit Harington , Kumail Nanjiani , Lia McHugh , Brian Tyree Henry , Lauren Ridloff , Barry Keoghan , Ma Dong-seok ","Action , Adventure , Fantasy , Sci-Fi ",157,6.3,52,47,78,0,0,"200,000,000","71,297,219","164,870,264","402,064,929"
Spider-Man: No Way Home,12/17/2021,4,Jon Watts,Kevin Feige and Amy Pascal,"Tom Holland , Zendaya , Benedict Cumberbatch , Jon Favreau , Andrew Garfield , Toby Maguire ","Action , Adventure , Fantasy , Sci-Fi ",148,8.2,71,93,98,3,0,"200,000,000","260,138,569","803,975,784","1,891,108,035"
Doctor Strange in the Multiverse of Madness,5/6/2022,4,Sam Raimi,Kevin Feige,"Benedict Cumberbatch , Elizabeth Olsen , Chiswetel Ejiofor , Benedict Wong , Xochitl Gomez , Racheal McAdams ","Action , Adventure , Fantasy , Horror , Sci-Fi ",126,6.9,60,73,85,0,0,"294,500,000","187,420,998","411,331,607","955,775,804"
Thor: Love and Thunder,7/8/2022,4,Taika Waititi,Kevin Feige and Brad Winderbaum,"Chris Hemsworth , Natalie Portman , Christian Bale , Tessa Thompson ","Action , Adventure , Comedy , Fantasy , Romance , Sci-Fi ",118,6.2,57,63,76,0,0,"250,000,000","144,165,107","343,256,830","760,928,081"
Black Panther: Wakanda Forever,11/11/2022,4,Ryan Coogler,Kevin Feige and Nate Moore,"Letitia Wright , Lupita Nyong'o , Danai Gurira , Winston Duke , Angela Bassett , Tenoch Huerta , Martin Freeman ","Action , Adventure , Drama , Sci-Fi ",161,6.7,67,83,94,5,1,"200,000,000","181,339,761","453,829,060","859,208,836"
Ant-Man and the Wasp: Quantumania,2/17/2023,4,Peyton Reed,Kevin Feige and Stephen Broussard,"Paul Rudd , Evangeline Lilly , Michael Douglas , Michelle Pfeiffer , Jonathan Majors , Kathryn Newton ","Action , Adventure , Comedy , Sci-Fi ",124,6.1,48,46,82,0,0,"200,000,000","106,109,650","214,504,909","476,071,180"
Guardians of the Galaxy Vol. 3,5/5/2023,4,James Gunn,Kevin Feige,"Chris Pratt , Bradley Cooper , Dave Bautista , Vin Diesel , Pom Klementieff , Chukwudi Iwuji ","Action , Adventure , Comedy , Sci-Fi ",150,7.9,64,82,94,1,0,"250,000,000","118,414,021","358,995,815","845,555,777"
The Marvels,11/10/2023,4,Nia DaCosta,Kevin Feige,"Brie Larson , Teyonah Parris , Iman Vellani , Samuel L. Jackson ","Action , Adventure , Fantasy ",105,5.6,50,62,82,0,0,"270,000,000","46,110,859","84,500,223","206,097,335"
